Reference, Quantity, Value, Footprint, Datasheet
A1_PORT1 A2_PORT1 ,2,"JST PH 3","OSO-BOWI-A1-06:JSTPH3",""
BCS1 ,1,"SOLDERJUMPER_OPEN","OSO-BOWI-A1-06:SOLDERJUMPER_OPEN",""
BTN-RIGHT1 BTN_DOWN1 BTN_LEFT1 BTN_NEXT1 BTN_PREV1 BTN_SEL1 BTN_UP1 ,7,"SWITCH_PUSHBUTTONEVQ-PE","OSO-BOWI-A1-06:TACT_PANA-EVQ",""
BTN_LOCK1 BTN_RESET1 ,2,"SWITCH_PUSHBUTTONC&K_KSS","OSO-BOWI-A1-06:BTN_CK_KSS",""
C1 ,1,"10uF","OSO-BOWI-A1-06:0805-NO",""
C10 C11 C12 ,3,"1uF","OSO-BOWI-A1-06:0805-NO",""
C13 C14 C15 C16 C7 C8 ,6,"1uF/25V","OSO-BOWI-A1-06:0805-NO",""
C2 ,1,"10uF","OSO-BOWI-A1-06:0805_10MGAP",""
C3 C4 C5 ,3,"1uF","OSO-BOWI-A1-06:0805_10MGAP",""
C6 ,1,"100uF","OSO-BOWI-A1-06:C1210",""
C9 ,1,"4.7uF/25V","OSO-BOWI-A1-06:0805-NO",""
D1 D2 ,2,"3.6V","OSO-BOWI-A1-06:SOD-123",""
D3 D4 D5 ,3,"MBR0530","OSO-BOWI-A1-06:SOD-123",""
DNP_NEXT_ALT1 DNP_PREV_ALT1 ,2,"SPST_TACTILE_SWITCHRA","OSO-BOWI-A1-06:TL3330AF130QG",""
FB1 FB2 ,2,"FERRITE","OSO-BOWI-A1-06:0805",""
FID1 FID2 FID3 FID4 FID5 FID6 ,6,"FIDUCIAL_1MM","OSO-BOWI-A1-06:FIDUCIAL_1MM",""
GOLD_ORB_SM1 ,1,"OSHWLOGOLOGO5MM","OSO-BOWI-A1-06:OSHW_5MM",""
I2C1 ,1,"JST PH 4","OSO-BOWI-A1-06:JSTPH4",""
IC1 ,1,"MCP23008_SO","OSO-BOWI-A1-06:SO18W",""
IC2 ,1,"23K256-I/SN","OSO-BOWI-A1-06:SOIC8_150MIL",""
IC3 ,1,"MICROBUILDER_SPIFLASH_SOIC8","OSO-BOWI-A1-06:MICROBUILDER_SOIC8_150MIL",""
J1 ,1,"SJ-43514-SMT","OSO-BOWI-A1-06:CUI_SJ-43514-SMT",""
JP1 ,1,"PINHD-1X3","OSO-BOWI-A1-06:1X03",""
JP2 ,1,"PINHD-1X1","OSO-BOWI-A1-06:1X01",""
L1 ,1,"10uH","OSO-BOWI-A1-06:MICROBUILDER_INDUCTOR_4X4MM_NR401_BIGPADS",""
MICROSD1 ,1,"MICROSD","OSO-BOWI-A1-06:MICROSD",""
MS1 ,1,"MICROBUILDER_FEATHERWING_SMTDUAL_NOLINES","OSO-BOWI-A1-06:MICROBUILDER_FEATHERWING_SMT2_NOLINES",""
Q1 ,1,"IRLML0100","OSO-BOWI-A1-06:SOT23-3",""
R1 R2 ,2,"1K","OSO-BOWI-A1-06:_0805MP",""
R5 ,1,"0.47ohm","OSO-BOWI-A1-06:0805_10MGAP",""
R10 R11 R12 R13 R3 R4 R6 R7 ,8,"10K","OSO-BOWI-A1-06:_0805MP",""
R8 R9 ,2,"100","OSO-BOWI-A1-06:_0805MP",""
EBSY1 ECS1 EDC1 ERST1 INT1 SDCS1 SRCS1 ,7,"MICROBUILDER_SOLDERJUMPER_CLOSED","OSO-BOWI-A1-06:MICROBUILDER_SOLDERJUMPER_CLOSEDWIRE",""
SW1 ,1,"SPDT_SWITCH","OSO-BOWI-A1-06:A10767",""
3V3 A0 A1 A2 AREF1 BAT1 EN1 GND1 MISO1 MOSI1 RST1 RX1 SCK1 SCL1 SDA1 TP1 TP2 TP3 TX1 USB1 ,20,"MICROBUILDER_TESTPOINT1.5X2.0MM_NOCREAM","OSO-BOWI-A1-06:MICROBUILDER_PAD-1.5X2.0",""
U$1 U$4 U$5 U$7 ,4,"MOUNTINGHOLE2.5","OSO-BOWI-A1-06:MOUNTINGHOLE_2.5_PLATED",""
U$2 ,1,"WAVESHARE_4_2_INCH_EINK_DISPLAY","OSO-BOWI-A1-06:EINK_DISPLAY_4_2IN",""